#X 	Y 	poch 	SPLINE
102.17	-1.40281	-90.9896	-1.47235
102.18	-1.47235	-94.731	-1.5514
102.19	-1.5514	-100.438	-1.64036
102.2	-1.64036	-102.174	-1.73972
102.21	-1.73972	-110.756	-1.85011
102.22	-1.85011	-116.324	-1.97224
102.23	-1.97224	-128.039	-2.10695
102.24	-2.10695	-132.471	-2.25515
102.25	-2.25515	-145.261	-2.41791
102.26	-2.41791	-159.712	-2.59638
102.27	-2.59638	-166.622	-2.79183
102.28	-2.79183	-184.381	-3.00564
102.29	-3.00564	-196.977	-3.23931
102.3	-3.23931	-218.804	-3.49444
102.31	-3.49444	-227.049	-3.77269
102.32	-3.77269	-248.438	-4.07583
102.33	-4.07583	-271.96	-4.40565
102.34	-4.40565	-279.582	-4.76397
102.35	-4.76397	-304.492	-5.15254
102.36	-5.15254	-316.708	-5.57301
102.37	-5.57301	-341.827	-6.02683
102.38	-6.02683	-337.714	-6.51512
102.39	-6.51512	-354.611	-7.03851
102.4	-7.03851	-348.943	-7.59698
102.41	-7.59698	-353.543	-8.18962
102.42	-8.18962	-314.102	-8.81435
102.43	-8.81435	-288.257	-9.46766
102.44	-9.46766	-246.922	-10.1442
102.45	-10.1442	-151.734	-10.8368
102.46	-10.8368	-69.7872	-11.5354
102.47	-11.5354	60.8244	-12.228
102.48	-12.228	194.775	-12.8995
102.49	-12.8995	390.586	-13.5326
102.5	-13.5326	572.561	-14.1083
102.51	-14.1083	771.922	-14.6059
102.52	-14.6059	993.877	-15.0053
102.53	-15.0053	1175.91	-15.2872
102.54	-15.2872	1341.12	-15.4358
102.55	-15.4358	1458.98	-15.4394
102.56	-15.4394	1520.61	-15.2921
102.57	-15.2921	1511.15	-14.9945
102.58	-14.9945	1450.71	-14.5537
102.59	-14.5537	1302.52	-13.9826
102.6	-13.9826	1130.25	-13.2993
102.61	-13.2993	906.758	-12.5252
102.62	-12.5252	692.014	-11.6833
102.63	-11.6833	428.372	-10.7969
102.64	-10.7969	224.813	-9.88809
102.65	-9.88809	15.7967	-8.97677
102.66	-8.97677	-135.686	-8.07997
102.67	-8.07997	-303.241	-7.21156
102.68	-7.21156	-395.612	-6.38227
102.69	-6.38227	-460.55	-5.59981
102.7	-5.59981	-536.087	-4.86926
102.71	-4.86926	-545.33	-4.19337
102.72	-4.19337	-560.813	-3.573
102.73	-3.573	-541.198	-3.00751
102.74	-3.00751	-541.132	-2.49509
102.75	-2.49509	-504.245	-2.0331
102.76	-2.0331	-466.386	-1.61831
102.77	-1.61831	-443.073	-1.24711
102.78	-1.24711	-395.622	-0.9157
102.79	-0.9157	-360.818	-0.62023
102.8	-0.62023	-316.586	-0.35688
102.81	-0.35688	-287.862	-0.12193
102.82	-0.12193	-247.977	0.08815
102.83	0.08815	-211.795	0.27672
102.84	0.27672	-186.728	0.4469
102.85	0.4469	-153.301	0.6016
102.86	0.6016	-128.474	0.7435
102.87	0.7435	-100.475	0.87509
102.88	0.87509	-82.1527	0.99865
102.89	0.99865	-58.7346	1.11625
102.9	1.11625	-40.3556	1.22984
102.91	1.22984	-20.3416	1.34119
102.92	1.34119	-7.56326	1.45195
102.93	1.45195	10.0869	1.56369
102.94	1.56369	25.9918	1.67785
102.95	1.67785	36.3818	1.79583
102.96	1.79583	52.4285	1.91898
102.97	1.91898	63.971	2.0486
102.98	2.0486	79.7196	2.18597
102.99	2.18597	88.4392	2.33239
103	2.33239	103.192	2.48915
103.01	2.48915	118.927	2.65755
103.02	2.65755	127.193	2.83895
103.03	2.83895	144.529	3.03472
103.04	3.03472	156.536	3.24628
103.05	3.24628	176.322	3.47509
103.06	3.47509	183.622	3.72263
103.07	3.72263	202.444	3.99045
103.08	3.99045	222.877	4.28009
103.09	4.28009	228.469	4.59307
103.1	4.59307	250.322	4.9309
103.11	4.9309	260.601	5.29499
103.12	5.29499	282.195	5.6866
103.13	5.6866	279.698	6.10679
103.14	6.10679	295.777	6.55627
103.15	6.55627	293.856	7.03533
103.16	7.03533	302.818	7.54368
103.17	7.54368	275.508	8.08022
103.18	8.08022	263.185	8.64293
103.19	8.64293	241.266	9.2286
103.2	9.2286	176.059	9.83259
103.21	9.83259	126.932	10.4486
103.22	10.4486	39.458	11.0687
103.23	11.0687	-46.6567	11.6826
103.24	11.6826	-187.158	12.2786
103.25	12.2786	-315.117	12.8427
103.26	12.8427	-461.289	13.3597
103.27	13.3597	-640.902	13.8135
103.28	13.8135	-794.088	14.1877
103.29	14.1877	-953.693	14.467
103.3	14.467	-1086.26	14.6378
103.31	14.6378	-1197.32	14.6899
103.32	14.6899	-1256.26	14.617
103.33	14.617	-1278.67	14.4174
103.34	14.4174	-1237.41	14.0945
103.35	14.0945	-1159.07	13.6565
103.36	13.6565	-1028.71	13.1159
103.37	13.1159	-884.254	12.4882
103.38	12.4882	-683.271	11.7913
103.39	11.7913	-508.247	11.0438
